enhetsnavn,statistikk,indikator_delskar,periode,trinn,kjonn,verdi
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2018-2019,Trinn 5,Jenter,55
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2019-2020,Trinn 5,Jenter,56
Lassa skole,Nasjonale prøver 5. trinn,Lesing,2020-2021,Trinn 5,Jenter,57
Lassa skole,Nasjonale prøver 5. trinn,Regning,2014-2015,Trinn 5,Jenter,52
Lassa skole,Nasjonale prøver 5. trinn,Regning,2015-2016,Trinn 5,Jenter,52
Lassa skole,Nasjonale prøver 5. trinn,Regning,2016-2017,Trinn 5,Jenter,47
Lassa skole,Nasjonale prøver 5. trinn,Regning,2017-2018,Trinn 5,Jenter,51
Lassa skole,Nasjonale prøver 5. trinn,Regning,2018-2019,Trinn 5,Jenter,53
Lassa skole,Nasjonale prøver 5. trinn,Regning,2019-2020,Trinn 5,Jenter,58
Lassa skole,Nasjonale prøver 5. trinn,Regning,2020-2021,Trinn 5,Jenter,54
Lunde skole,Nasjonale prøver 5. trinn,Engelsk,2014-2015,Trinn 5,Jenter,49
